ID,Time,Title,Category,Salary,Company,companyReviews,companyRating,Url,Location,Description,min_experience,max_experience,short_type
0,9 days ago,Business Analyst,Business Analyst,"$20,000 - $35,000",JDT Consulting,,,https://www.indeed.hk//company/JDT-Consulting/jobs/Business-Analyst-c61d68e3446f0dfc?fccid=d7ad179d6db143e1&vjs=3,Hong Kong,"Hong Kong$20,000 - $35,000 a monthThe opportunityOur clients operate in a world where achieving and sustaining performance is more difficult than ever. As a performance improvement professional, you will be focused on helping them grow and turn their strategy into reality. You’ll work in high-performing teams that drive growth and deliver exceptional client service, ensuring you play your part in building a better working world.Your career is yours to shape. Whether you’re in Customer, Supply Chain and Operations, Finance, IT Advisory, Strategy or People and Organizational Change, we’ll support you to develop the skills, knowledge and experience to succeed.The strength of our global network, combined with local empowerment and a relentless focus on winning in specific markets, mean you’ll gain valuable experience across different geographies and sectors.Responsibilities: Your key responsibilitiesYou will be providing all-round project support to multiple projects as a Business Analyst.In this role, you will assist in process mapping, business analysis, workflow design and system implementation, validation and documentation of business stakeholder's needs and requirements and UAT.Requirements: To qualify for the role you must haveA bachelor's degree in any discipline1 year or above of experience preferably in leading consulting or professional services firms or Insurance companyProven project experienceStrong interpersonal skills and communication skillsExcellent command of spoken and written English and Cantonese. Mandarin will be an advantageWhat working at JDT offersSupport, coaching and feedback from some of the most engaging colleagues aroundOpportunities to develop new skills and progress your careerThe freedom and flexibility to handle your role in a way that’s right for youAbout JDTAs a global consulting firm in providing operation optimization consulting, business process consulting, IT consulting, IT service delivery. we’re using the expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional JDT experience lasts a lifetime.If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.Join us in building a better working world.Apply now.Job Type: Full-timeSalary: $20,000.00 to $35,000.00 /monthExperience:Financial service: 2 years (Required)business analyst: 1 year (Required)Language:English (Preferred)Cantonese (Preferred)",1,2,BA
1,30+ days ago,Hong Graduate Business Analyst,Business Analyst,,FDM Group,,,https://www.indeed.hk//rc/clk?jk=881979b97a41aa58&fccid=2525ee368b671cd8&vjs=3,Hong Kong,"Hong KongNote: Please only submit one application, even if you are interested in more than one opportunity. A recruiter will speak to you about all options available after we review your application.
-
FDM is a FTSE 250 employer operating across Asia-Pacific, the UK, mainland Europe and North America. We provide various opportunities for our consultants to work in technical roles alongside some of the world’s largest brands including HSBC, BNP Paribas, Allianz and Manulife.
We are currently seeking candidates interested in building a career in Business Analysis.

As a Business Analyst you will work on a variety of projects or business change programmes. Working across technical teams and the wider business, you will gather and refine the requirements from users and turn this into innovative business solutions. You will develop a deep understanding of the business in order to ensure you are aligned with the business’ strategic goals and will enjoy dealing with people, being able to speak confidently about both technology and business challenges.

Prior to working with our clients, your training will take place at FDM’s Hong Kong centre. Successful candidates will receive intense technical and professional training through our award-winning FDM Academy. You become an FDM employee from day one and are paid during the training period before placement onsite with our clients in Hong Kong.

Fast-track career progression is a key focus of FDM, and our programme will put you on a pathway that could grow into leadership roles working within multinational organisations.

We accept applications on a rolling basis; suitable candidates are encouraged to apply immediately.

There is no better way to launch your career than with FDM!

What we are looking for:
Bachelor’s degrees (preferably in Finance, Business, Management, or a STEM related field)
Excellent communication and interpersonal skills
Good decision making skills within fast-paced environments
Strong attention to detail and strong organisational and time management abilities
Able to commit to the two-year consultant programme with FDM following completion of training

What we offer you:
Fully-funded industry recognised training and qualifications
Key skills development e.g. stakeholder management, communication, planning and Microsoft Excel
A foot in the door to some of the world’s most reputable organisations
Mentoring and on-going support throughout your entire FDM journey
Modern and central training academies
Social events and networking",,,BA
2,4 days ago,Assistant Business Analyst,Business Analyst,,AXA Hong Kong Life and General Insurance,,,https://www.indeed.hk//rc/clk?jk=907d01d940c7d9ef&fccid=e17fb908694ca9f1&vjs=3,Hong Kong,"Hong KongDeliver SHR MIS reports on monthly basis.
Be a key SHR representative to communicate with CTO for company projects.
Participate in SHR projects, work with SHR project team members to understand business requirement specification and functional specification, assist to prepare user acceptable test plan and test cases, execute user acceptance test and implementation verification test, and conduct SHR user training.
Support to handle and coordinate with IT for system production issues.
Support run-the-business tasks such as bulletin maintenance and upload, system record maintenance and commission calculation.
Handle ad-hoc tasks and special reports assigned by supervisor to support distribution channels and SHR department.

QUALIFICATIONS

University graduate or higher diploma.
Fresh graduate with part-time working experience is welcome.
Strong logical and numerical sense and attentive to details.
As a good team player to work in cooperative manner.
With good service mind-set, willing to learn and able to work under pressure.
Good command of both spoken and written English and Chinese.
Proficiency in MS Office application e.g. Excel, Word, PowerPoint, Macro and Chinese Word Processing.

ABOUT AXA

Would you like to wake up every day driven and inspired by our noble mission and to work together as one global team to empower people to live a better life? Here at AXA we strive to lead the transformation of our industry. We are looking for talented individuals who come from varied backgrounds, think differently and want to be part of this exciting transformation by challenging the status quo so we can push AXA - a leading global brand and one of the most innovative companies in our industry - onto even greater things.


In a fast-evolving world and with a presence in 64 countries, our 166,000 employees and exclusive distributors anticipate change to offer services and solutions tailored to the current and future needs of our 103 million customers.


AXA Hong Kong, a member of the AXA Group, prides itself of serving over 1 million customers in Hong Kong and Macau. Besides being one of the largest health protection providers in Hong Kong, it is also the number 1 General Insurance provider1 and a market leader in motor insurance.

AXA Hong Kong is committed to helping its customers achieve stability and prosperity through providing a comprehensive range of life, health, property and casualty protection, as well as wealth management and retirement solutions.
We believe it is our inherent responsibility to support the communities we operate in, hence creating a sustainable business via constant and considerable contribution in the dimensions of health, environment and the community.

AXA is an equal opportunity employer. We are committed to promote Diversity and Inclusion (D&I) by creating a work environment where all employees are treated with dignity, respect, and where individual differences are valued. We welcome and treasure diverse profiles to join our big family, and to build an inclusive culture together which allows everyone to maximize their personal potential.

1Based on 2013 Office of the Commissioner of Insurance market share statistics

WHAT WE OFFER

We offer excellent career prospects and attractive remuneration package to the right candidates.",0,,BA
3,19 hours ago,IT Business Analyst / Junior Business Analyst (Welcome Fresh Graduate),Business Analyst,"$14,000 - $18,000",BGC Group (HK) Limited,,,https://www.indeed.hk//company/BGC-Group-(HK)-Limited/jobs/IT-Business-Analyst-61b143c50fe6b322?fccid=01ce1daca195dfcc&vjs=3,"Admiralty, Hong Kong Island","Admiralty, Hong Kong IslandPermanent$14,000 - $18,000 a monthResponsibilities: Build a bridge of communication between programmer and end-userProvide consultation and support to end-usersInvolve in full project cycle from project planning to implementationMainly to understand the needs of customers, outline the business requirements, and summarize the business logicCollect user requirements and provide recommendations to meet the operational needsRequirements: Higher Diploma or above in Business, Computer Science or related disciplinesBasic knowledge of IT language skills and system developmentDetail-oriented individual with the ability to multi-task and prioritizeStrong interpersonal skills, problem-solving skills and communication skillsGood command of written and spoken English and ChineseHands-on experience in Resource Planning System is a big plus but not necessary.*Personal data collected will be used for recruitment purpose only.Job Types: Full-time, PermanentSalary: $14,000.00 to $18,000.00 /month",,,BA
4,2 hours ago,IT Business Intmd Analyst,Business Analyst,,Citi,,3.9,https://www.indeed.hk//rc/clk?jk=a63cea4301e67062&fccid=5bcd1ef0a7f4fb99&vjs=3,"Kowloon City, Kowloon","Kowloon City, KowloonThe IT Business Intermediate Analyst is an intermediate-level position responsible for liaising between business users and technologists to exchange information in a concise, logical and understandable way in coordination with the Technology team. The overall objective of this role is to contribute to continuous iterative exploration and investigation of business performance and other measures to gain insight and drive business planning.

Responsibilities:
Formulate and define systems scope and project objectives through research activities and provide guidance to new or lower level analysts
Analyze business client needs, document requirements and new technology, and derive test cases
Define and analyze enhancements and assist in redesigning business processes and process automation
Prepare reports, metrics and presentations and exchange ideas/information in a concise and logical manner between business units and IT
Identify risk and consider business implications of the application of technology to the current business environment
Test systems to ensure projects meet requirements and identify system problems to develop solutions based on analyses
Resolve problems by translating business requirements into technical solutions and identifying and selecting solutions through the application of acquired technical experience and precedent
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
2-5 years of relevant experience
Experience in data analysis with intermediate/advanced Microsoft Office Suite skills
Knowledge of applicable business systems and industry standards
Proven analytical, data analysis, organization and presentation skills
Demonstrated ability to manage a diverse project portfolio
Consistently passionate for research, ideation and exploration with understanding of business analysis procedures and concepts
Consistently demonstrate clear and concise written and verbal communication
Proven ability to work independently and in a team with understanding of how collaboration accomplishes objectives
Education:
Bachelor's degree/University degree or above / equivalent experience
Candidates with ITIL certification highly preferred
Strong domain knowledge on consumer/retail banking products and regulations
Demonstrate knowledge of Microsoft Excel, Word and PowerPoint
Excellent communication and presentation skills in both oral and written English, and Chinese is a plus
Experienced in stakeholder engagement and management
Self-motivated with enthusiastic and positive attitude
Experienced in international organizations is a plus
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - HK
-
Time Type :Full time
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.
To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.
To view the EEO Policy Statement CLICK HERE.
To view the Pay Transparency Posting CLICK HERE.",5,5,BA
5,2 hours ago,IT Business Intmd Analyst,Business Analyst,,花旗,,,https://www.indeed.hk//rc/clk?jk=60317fabd9825987&fccid=8e28cf23870a4dcb&vjs=3,Kowloon,"KowloonThe IT Business Intermediate Analyst is an intermediate-level position responsible for liaising between business users and technologists to exchange information in a concise, logical and understandable way in coordination with the Technology team. The overall objective of this role is to contribute to continuous iterative exploration and investigation of business performance and other measures to gain insight and drive business planning.

Responsibilities:
Formulate and define systems scope and project objectives through research activities and provide guidance to new or lower level analysts
Analyze business client needs, document requirements and new technology, and derive test cases
Define and analyze enhancements and assist in redesigning business processes and process automation
Prepare reports, metrics and presentations and exchange ideas/information in a concise and logical manner between business units and IT
Identify risk and consider business implications of the application of technology to the current business environment
Test systems to ensure projects meet requirements and identify system problems to develop solutions based on analyses
Resolve problems by translating business requirements into technical solutions and identifying and selecting solutions through the application of acquired technical experience and precedent
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
2-5 years of relevant experience
Experience in data analysis with intermediate/advanced Microsoft Office Suite skills
Knowledge of applicable business systems and industry standards
Proven analytical, data analysis, organization and presentation skills
Demonstrated ability to manage a diverse project portfolio
Consistently passionate for research, ideation and exploration with understanding of business analysis procedures and concepts
Consistently demonstrate clear and concise written and verbal communication
Proven ability to work independently and in a team with understanding of how collaboration accomplishes objectives
Education:
Bachelor's degree/University degree or above / equivalent experience
Candidates with ITIL certification highly preferred
Strong domain knowledge on consumer/retail banking products and regulations
Demonstrate knowledge of Microsoft Excel, Word and PowerPoint
Excellent communication and presentation skills in both oral and written English, and Chinese is a plus
Experienced in stakeholder engagement and management
Self-motivated with enthusiastic and positive attitude
Experienced in international organizations is a plus
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - HK
-
Time Type :Full time
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.
To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.
To view the EEO Policy Statement CLICK HERE.
To view the Pay Transparency Posting CLICK HERE.",5,5,BA
6,19 hours ago,Assistant Business Analyst – Marketing,Business Analyst,,Hong Kong Broadband Network Limited,,,https://www.indeed.hk//company/Hong-Kong-Broadband-Network-Limited/jobs/Assistant-Business-Analyst-Marketing-5afc38fe247afba1?fccid=ac0d767f0632155c&vjs=3,Hong Kong,"Hong KongPermanentThe purpose to you with this career opportunity will be…Being one of the members of analytical team of marketing group, it is a dynamic opportunity to gain the professional experience in transforming data into actionable marketing campaign.To be part of our mission, we are looking for a Assistant Business Analyst to…Be the hub for data-driven marketing activities to offer the suitable services/products to HKersYou will create impact via…Conduct pre/post marketing campaigns analysis and provide actionable suggestionsDevelop, Maintain and consolidate the customer databaseAssist in the annual marketing planningPrepare regular management reports and highlight the insights for management decision makingOther tasks assigned by supervisorThe following attributes will be valued…Degree holder from a recognized institution. Degree of Marketing/Statistics/Business/Finance are preferred1-2 years relevant experienceSelf-motivated and attention to detailsProficiency in Excel with good knowledge of formula and pivot tableKnowing SAS/SQL/VBA/R are added advantageFluency in written and spoken English and ChineseApply nowJob Types: Full-time, PermanentExperience:VBA, SQL: 1 year (Preferred)",1,2,BA
7,30+ days ago,"Analyst/Associate, Business Support Associate, GBAM COO, Hong Kong",Business Analyst,,Bank of America,,3.8,https://www.indeed.hk//rc/clk?jk=2246130d04b5b36b&fccid=5bd99dfa21c8a490&vjs=3,Hong Kong,"Hong KongAnalyst/Associate, Business Support Associate, GBAM COO, Hong Kong
Hong Kong, Hong Kong
Job number: 19018328
Back to job search results
Apply Now for this job >

About Bank of America Merrill Lynch:
Our purpose as a firm is to make financial lives better, through the power of every connection. Across the world, we partner with leading corporate and institutional investors through our offices in more than 40 countries. In the U.S alone, we serve almost all Fortune 500 companies and approximately 59 million consumers and small-business customers. We provide a full suite of financial products and services, from banking and investments to asset and risk management. We cover a broad range of asset classes, making us a global leader in corporate and investment banking, sales and trading.
Connecting Asia Pacific to the World
Our Asia Pacific team is spread across 23 offices in 12 markets. We are focused on connecting Asia to the world and the world to Asia, using our global expertise to ensure success is shared between us, our clients and our communities. Our regional footprint covers 12 currencies, more than a dozen languages and five time zones, placing us firmly among the region’s leading financial services companies.
Bank of America Merrill Lynch is committed to attracting, recruiting and retaining top diverse talent from across the globe. Our diversity and inclusion mission is to actively promote an inclusive work environment where all employees have the opportunity to achieve personal success and contribute to the growth of our business. Each of our global Employee Networks bring together employees, create dialogue and awareness in support of our Diversity and Inclusion.
Overview
The Chief Operating Office (COO) partners with all business units and support and control functions in a broad range of responsibilities, including strategic analysis of new business opportunities and execution of new business initiatives, day-to-day management of the business and related operations, client and data analytics, and fulfillment of internal and external governance requirements.
Key Responsibilities
Assist regional and line of business management in development and implementation of established strategic goals and objectives
Assist in governance work
Analyze and report business performance for Senior Management
Execution of recurring business reporting packages
Provide and manage financial analyses as required for strategic initiatives
Assist with the design, development and the implementation of any metrics system and dashboards
Participate in special projects
Education
University graduate with outstanding academic achievement
Major in business areas such as finance, economics, management or a related area
Required Skills and abilities
Strong quantitative and analytical skills
Effective verbal and written communication
Being comfortable with change and adjust to changing demands and requirements
Strong team player and client focused
Demonstrate energy and drive
Proficiency in Microsoft Excel, PowerPoint and Bloomberg. Demonstrated skills with query, reporting and analysis tools
Fluency in English is essential, appropriate Asian language skills are also essential for some roles and countries
Bank of America Merrill Lynch is an equal opportunities employer.
Posting Date: 14/03/2019
Location:
2 QUEEN'S RD - CHEUNG KONG CENTER
Hong Kong",,,BA
8,28 days ago,"Associate, IT Business Analyst",Business Analyst,,Manulife,728,3.9,https://www.indeed.hk//rc/clk?jk=7fdc0a255f28eede&fccid=935bdcc8ea6ea513&vjs=3,Hong Kong,"Hong KongAre you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.
Job Description
Associate IT Business Analyst
Job Description Summary
We are looking for a candidate with strong business analysis capabilities, consulting experience and able to collaborate in a large scale, cross functional project to join our System of Record team in ensuring successful delivery of business initiatives in agreed time, cost and quality standard.
We offer variety, challenge, responsibility and opportunity to grow. Candidate will be required to lead analysis over a busy and dynamic portfolio focusing on Customer Experience Transformation initiatives of Pension Business and should be a highly motivated individual who enjoys engaging with all roles across the business and have a good attention to detail in analyzing the needs of the business.
Job description
Build and maintain lasting relationships with all business stakeholders and related business partners.
Participate in various Customer Experience Transformation projects, collaborate with internal teams and stakeholders to define and document business processes and requirements for addressing business needs via effective system solutions.
Host stakeholder workshop coming from cross-functional teams and other business analysis techniques in eliciting requirements, critically evaluate information gathered, reconcile conflicts, decomposes underlying true needs of end users.
Analyze, organize and translate user requirements in proper documentation to facilitate requirements presentation, review and approval sessions as well as system development.
Become a mentor to other business analysts; building a sense of community within the team.
Provide direction, support and feedback within the Business Analysis team.
Perform team lead duties including scheduling, reporting to management, supervising analysts, delegating and prioritizing workloads.
Resolve issues within and across teams.
Effectively communicate verbally and in written form to interact professionally with a diverse group, including executives, managers, and subject matter experts.
Support supervising manager in guiding and managing work efforts of the Business Analysis team as well as promoting an effective and efficient team.
Successfully engage in multiple initiatives simultaneously.
Experience & Qualification
Degree holder in information systems, business administration or related subjects
At least 8 years related working experiences
Best to have team management skills
Knowledge & Skills
Experience working in a business analysis role on diverse projects
Experience in Mandatory Provident Funds operations or relevant application development would be an advantage
Well organized and attentive to details, flexible with working hours
Good analytical and problem solving skills, and disciplined with project scheduling.
Self-initiated and have a strong drive to learn, responsible and willing to expose to new technology.
Strong PC skills including MS Word, Excel, PowerPoint, Visio, Chinese Word Processing
Knowledge of JIRA, Confluence, ALM preferred
Demonstrated experience in using Agile and Waterfall methodologies and techniques
Able to clearly express business processes and ideas verbally and in written English
Able to present confidently to groups of audience.
Has an enthusiastic approach to moving the business forward.
Able to drive creative thinking, beyond the boundaries of current knowledge base.

If you are ready to unleash your potential, it’s time to start your career with Manulife/John Hancock.

About Manulife

Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States and Manulife elsewhere. We provide financial advice, insurance, as well as wealth and asset management solutions for individuals, groups and institutions. At the end of 2018, we had more than 34,000 employees, over 82,000 agents, and thousands of distribution partners, serving almost 28 million customers. As of December 31, 2018, we had over $1.1 trillion (US$794 billion) in assets under management and administration, and in the previous 12 months we made $29.0 billion in payments to our customers.


Our principal operations in Asia, Canada and the United States are where we have served customers for more than 100 years. With our global headquarters in Toronto, Canada, we trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.


Manulife is committed to supporting a culture of diversity and accessibility across the organization. It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will consult with applicants contacted to participate at any stage of the recruitment process who request an accommodation. Information received regarding the accommodation needs of applicants will be addressed confidentially.",0,8,BA
9,2 days ago,Business Analyst,Business Analyst,,Citi,,3.9,https://www.indeed.hk//rc/clk?jk=a907fbdff4a0e975&fccid=5bcd1ef0a7f4fb99&vjs=3,"Kowloon City, Kowloon","Kowloon City, KowloonThe IT Business Lead Analyst is a senior-level position responsible for liaising between business users and technologists to exchange information in a concise, logical and understandable way in coordination with the Technology team. The overall objective of this role is to contribute to continuous iterative exploration and investigation of business performance and other measures to gain insight and drive business planning.


Responsibilities:
Provide input during development and implementation phases, including formulation and definition of systems scope, objectives and necessary system enhancements for complex, high-impact projects
Identify and communicate risks and impacts and propose risk mitigation options, considering business implications of the application of technology to the current business environment
Consult with business clients to determine system functional specifications and partner with multiple management teams and other units to meet organizational objectives
Evaluate new IT developments and evolving business requirements and recommend appropriate systems alternatives and/or enhancements to current systems by analyzing business processes, systems and industry standards
Provide in-depth and sophisticated analyses with interpretive thinking to define problems, develop innovative solutions and influence strategic functional decisions
Supervise day-to-day staff management issues, including resource management, work allocation, mentoring/coaching and other duties and functions as assigned
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
6-10 years of experience
Proficiency in MS Office (Word, Excel, Visio, PowerPoint) with extensive experience using Excel for data analysis
Experience with all phases of Software Development Life Cycle
Comprehensive knowledge of the principles of business analysis
Education:
Bachelor's degree/University degree or equivalent experience
Master's degree preferred
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - HK
-
Time Type :Full time
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.
To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.
To view the EEO Policy Statement CLICK HERE.
To view the Pay Transparency Posting CLICK HERE.",0,0,BA
