ID,Time,Title,Category,Salary,Company,Company Reviews,Company Rating(out of 5),Url,Location,Description,min_experience,max_experience,short_type
674,,Analyst - KYC and Client Reference Data,Data Analyst,,RBC,,4,https://www.indeed.hk//rc/clk?jk=9400929efc6253a4&fccid=537b899e30af3338&vjs=3,"Quarry Bay, Hong Kong Island","Quarry Bay, Hong Kong IslandPermanentWhat is the opportunity?
As the Analyst – KYC and Client Reference Data, you will responsible for the management of the organization's Client Data, KYC and Securities Reference Data repository.

What will you do?
Support the timely on-boarding and maintenance of all Clients across all relevant platforms whilst maintaining the integrity of the data at all times.
Support the timely creation and maintenance of client reference data across all relevant platforms whilst maintaining the integrity of the data at all times.
Maintain a strong understanding of KYC/AML process
Ensure the integrity of the database by ensuring consistency and controls are maintained at all times.
Continuous improvement, in conjunction with the GCDS/SDS teams, to processes, procedures resulting in increased efficiencies and service deliverables.
Assist with the integration into the local operations model into the global “follow the sun” support model.
Provide handover at end of day to facilitate a follow the sun model.
Develop and document operations controls and work processes
Identify root causes of client data problems and implement process improvement initiatives
Provide subject matter expertise within the KYC & Client Data space to internal clients and development groups as well as the Operations Engineering team.
UAT testing, as appropriate for application enhancements, development and integration.
Production and updating of weekly MI reporting to provide analysis.
Keep up to date with industry standards and operational processes
Develop and retain close and effective relationships with all key departments and individuals

What do you need to succeed?
Must-have
Good understanding of KYC/AML & Client Data and its importance to the operations within Capital Markets.
Previous account opening/settlement instructions maintenance experience within a Financial Institution.
Minimum 2 years’ experience within a KYC/AML & Client Data role.
Sound Capital Markets product knowledge and regulatory requirements governing KYC/AML.

Nice-to-have
Degree educated

What’s in it for you?
We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
Leaders who support your development through coaching and managing opportunities
Work in a dynamic, collaborative, progressive, and high-performing team
Opportunities to building close relationships with the business
Access to a variety of job opportunities across business and geographies",2,2,DA
675,3 days ago,Master Data Administrator / Analyst,Data Analyst,,Wing On Department Stores Group,,,https://www.indeed.hk//rc/clk?jk=a7c15bbab28c30ae&fccid=2bd2cc86ab2cb3bf&vjs=3,Hong Kong,"Hong KongRelease time：2019-07-23 14:12:00
Execute master data creation, changes, and deletions in a timely and accurate manner
Handle SAP master data enquires from business users
Participate in process improvements that have direct impact on effective entry and maintenance of master data
Proactively identifies, analyses, administers and communicates actionable data changes and requirements to the company
Perform data administrative and verification work based on business requirement
Assist in any ad hoc data projects
Higher Diploma or above
With a minimum experience of 1 year in master data management, preferably experience in SAP system
Independent, self-initiative, well organized, analytic and fast-learning
Strong interpersonal and communication skills
Immediate available is highly preferred
Interested parties please contact us at 2318 2394 or email (joinus@wingon.hk) your full resume including expected salary to Human Resources Division (please quote the applied position and reference number in your application). All information collected shall be treated in strictest confidence and used for recruitment purpose only.",1,1,DA
676,30+ days ago,Part-time Data Analyst,Data Analyst,,JASG,,,https://www.indeed.hk//rc/clk?jk=f7a504fbef47b77d&fccid=032ae4f88985463f&vjs=3,Hong Kong,"Hong KongThe role
Work with massive amount of data from various data sources and do analysis.
Be able to set assumptions and draw valid business conclusions
Enhance excel/app for improvement
Passionate about data analysis & improvement

The Person
University students major in Quantitative Finance, Computer Science, Statistics or similar discipline, or those who have experience in writing programs /apps
Sound knowledge in MS Excel key functions (including VBA and Macro)

Job Reference: SBU100019",,,DA
677,1 day ago,Junior Data Analyst (Excel VBA),Data Analyst,,LUXMED MEDICAL GROUP LIMITED,,,https://www.indeed.hk//rc/clk?jk=913d16f1d00ae7f3&fccid=d06819b929f83d77&vjs=3,Hong Kong,"Hong KongResponsibilities:
Data entry and integrity checking.
Assist in application development & enhancement on systems
Maintain and analysein-house data.
Interpret analysisresult and provide recommendations for an efficient workflow.
Other ad hoc duties as required by operationsteam.

Requirements:
Diploma or above in Business and Administration, Computer Science or related fields;
Mature, well organized, can work independently and willing to work under pressure.
Proficiency in MS Excel, knowledge of VBA preferred
歡迎瀏覽 http://www.luxmed.hk以便了解更多公司資訊。 有興趣的候選人請電郵申請將您當前和預期工資的履歷發送給我們;只有入圍候選人才會收到通知。

Phone: 37255500

Interested parties please click Apply Now to apply job.",,,DA
678,30+ days ago,Analyst Programmer (Data Analytics),Data Analyst,,Hong Kong R&D Centre for Logistics,,,https://www.indeed.hk//rc/clk?jk=c070eabfddf7139c&fccid=96b0bd698f55d24d&vjs=3,Hong Kong,"Hong KongThe incumbents will join our research and development team to take part in the research and development of various big data technologies for the local industries.
Responsibilities
Participate in research data preparation, data processing, testing, and result analysis for R&D projects
Assist in software development
Prepare systems and users document
Support systems setup and demonstrations
Requirements
Bachelor or higher degree in Computer Science, Statistics, Data Analytics, Applied Mathematics, or related disciplines
At least 3 years working experiences in software development or data analytics
Knowledge and experience on data analytics tools such as Python, R, Scala, Hadoop, Spark, Tensorflow, NLTK is an advantage
Good communication and interpersonal skills
Immediate available is a definite advantage
Fresh graduates or candidate with less experience will be considered as Programmer",,3,DA
679,30+ days ago,Data Analyst-Wanchai ( 14k-20K /5-day work ),Data Analyst,,IT-RecruitHK,,,https://www.indeed.hk//rc/clk?jk=ab53c4cce17c4e06&fccid=45e92b5b982fb821&vjs=3,Hong Kong,"Hong KongJob description:
Responsibilities:
Work on all stages of data science projects from partnering with stakeholders across the business to identify opportunities, understand data to implementing the solutions into products and service offerings;

-Provide data modeling, mining, pattern analysis, visualization to help the company's workflow; -Build predictive models with advanced machine learning algorithms;
Data analytics / ETL / SQL / BI;
Data conversion, standardization and cleansing
Requirements:
Requirement:
Bachelor degree of Information Technology/ Computer Science or any related discipline;
With at least 2 years of working experience;
Hands on experience in SSIS, SQL Server and experience with data ingestion (cleansing, ETL, validation), and (T)SQL scripting;

-Experience in Tableau, PowerBI, SSAS, Azure SQL server, Azure -Data warehouse and Data Factory is a plus;
Good command of English is a must;
Good interpersonal and communication skills;
Fresh graduates will be considered

***Please forward your CV (word format) with present and expected salary to

alicesin @recruithk.net

Please Contact Ms Sin (T: 2110-3966) if there is any further enquiries.

The information provided by applicants will be used for employment related purpose only. All applications will be treated in strict confidence and used exclusively for recruitment purposes. The company will retain the applications for a maximum period of 6 months.",,2,DA
680,30+ days ago,"Junior Analyst, Customer Engagement & Commerce (Data)",Data Analyst,,Ogilvy,580,4.1,https://www.indeed.hk//rc/clk?jk=6b51a350e58a3804&fccid=0dc7637a6a1a8ec0&vjs=3,Hong Kong,"Hong KongOverview
We are looking for a dynamic candidate to join our Customer Engagement & Commerce Department based in Hong Kong.
Responsibilities
Interpret data and work with various type of data sources (e.g. POS, web analytics, membership, etc.)
Understand the data flow of processes, technology and various systems, to develop corresponding ETL process for data collection
Hand-on data operation including (but not limit to) data cleansing, standardisation, and data deduplication
Develop various reports and dashboard to facilitate performance tracking and understating
Prepare outbound marketing campaign list and validate the data after list extraction
Provide support to other team members on data request
Qualifications
Education and Experience
Strong Engineering background, with degree in Computing and Information system
2 years of experience in database operation and administration, familiar with ETL process and reporting automation; previous exposure to Business analytics and reporting
Solid knowledge of SQL is essential (MSSQL/Oracle)
Knowledge of VBA, Python is preferred
Experience in using Tableau, Power BI or related analytics visualisation tools would be an advantage
Qualities and Interests
Ability to work independently with excellent communication skills in English
Able to translate general inquiries into data-specific requirements
Strong analytical mind with attention to detail
Curious and willing to learn (with interest in data/digital marketing technologies)
Good social spirit in collaborating with team

We offer 5-day work, good career prospects and attractive remuneration package to the right candidate.

All information collected will be solely used for recruitment purposes only.",2,2,DA
681,30+ days ago,Data Analyst,Data Analyst,,Bupa (Asia) Limited,,3.3,https://www.indeed.hk//rc/clk?jk=0d7fca3a92dd8644&fccid=18a7374fde10337f&vjs=3,Hong Kong,"Hong KongPermanentJob Purpose

You will work with complex data sets to maintain and enhance computer models. This is a highly analytical role that need to carry out data and trend analysis. Data analyst work in a variety of fields, including support quotation request and assist in preparing management reports.

Accountabilities and Activities

Maintain and enhance computer models to assist in identifying risky areas, support product reviews, support corporate pricing, assist to develop healthcare purchasing and design claim cost saving strategies

Perform claim trend analysis and benchmark against market data

Prepare pricing reports and analysis

Provide data input support in pricing model and quotation request

Provide tailor-made reports to client as requested

Ensure data quality of the database and reporting system

Make recommendation on pricing system requirement and other systems as required

To be considered for the role, you should ideally have

Degree holder in Statistics, Data Science, Mathematics or related discipline

At least 2 years' experience in data science, data analytic, business analysis

Self-motivated, detail-minded, strong analytical skills and willing to learn

Highest levels of integrity and trust

Good command of spoken and written English & Chinese

Bupa offers 5 days work per week and comprehensive remuneration packages including base salary, performance bonus, study assistance plan, non-contributory pension plan, life and medical benefit, dental benefit, annual leave, examination leave, etc.

Bupa is an equal opportunity employer and welcomes applications from qualified candidates. Information provided will be treated in strict confidence and only be used for consideration of application with Bupa.

Personal data collected will be used for recruitment purposes only. Only candidates selected for interviews will be contacted. Bupa will be in touch for any opportunities that matches your profile. All personal data of unsuccessful application will be destroyed 24 months from the date of receiving the application.",2,2,DA
682,30+ days ago,Part-time Data Analyst,Data Analyst,,Jardine Aviation Services,9,3.4,https://www.indeed.hk//rc/clk?jk=cc64a75db0701d5e&fccid=daee132bab3ee3b1&vjs=3,Hong Kong,"Hong KongPart-timeOUR REFERENCE NO.
SBU100019
CONTRACT TYPE
Permanent
APPLY BY
06-Aug-2019
The role
Work with massive amount of data from various data sources and do analysis.
Be able to set assumptions and draw valid business conclusions
Enhance excel/app for improvement
Passionate about data analysis & improvement
The Person
University students major in Quantitative Finance, Computer Science, Statistics or similar discipline, or those who have experience in writing programs /apps
Sound knowledge in MS Excel key functions (including VBA and Macro)",,,DA
683,1 day ago,Senior Data Analyst,Data Analyst,,South China Morning Post,15,3.6,https://www.indeed.hk//rc/clk?jk=cba64d442d66ed31&fccid=7205cf60d362cea1&vjs=3,Hong Kong,"Hong KongJob Responsibilities:
Deliver reporting and analytics to cross functional management teams across all of SCMP group's properties.
Work closely across multiple teams to understand their information needs and ensure strategy and developed solutions fit evolving needs.
Generate automated weekly reporting on various KPIs via Tableau.
Perform ad-hoc analysis on multiple reporting metrics: CPA / CAC, LTV, NPV, ROI etc.
Own and manage multiple initiatives to develop and automate tracking mechanisms to measure multi-channel performance both regularly and on an ad-hoc basis.
Collaborate with engineering to shape and drive tactical and strategic development of data infrastructure, reporting and analytical applications.
Work closely with data engineering and development team to build ETL pipelines.
Manage data vendors that ensure they provide quality data.

Job Requirement:
Degree in Business, Economics, Finance, Computer Science or other technical fields.
At least 3 years analytical experience with high data volume environments, preferably in software, internet, media or telecom industry.
Consulting experience a plus.
Demonstrated superior performance in prior roles with increasing levels of responsibility and independence.
Demonstrated experience and strong track record in developing and delivering reporting and analysis to senior management in a demanding business environment.
Demonstrated ability to handle multiple projects and drive complex operational and strategic initiatives.
Strong database experience including proficiency in SQL and Python and superior knowledge of Excel.
Knowledge of Hive, No-SQL, Hadoop, Graph or other data applications and related languages a plus.
Strong interpersonal skills that encourage team cooperation and build solid working relationships with peers and senior leadership.
Excellent communications skills, written, verbal, and presentation in English.
Work location will be in Causeway Bay office

Working location will be in Causeway Bay.

Please mark 'Private & Confidential' and quote reference.

Our Privacy Notice aims to comply with all relevant data privacy and protection laws. You should read the Privacy Notice in full at corp.scmp.com/privacy-policy.

You may consider your application unsuccessful if you do not hear from us within 6 weeks.",3,3,DA
