,Unnamed: 0,Time,Title,Category,Salary,Company,Company Reviews,Company Rating(out of 5),Url,Location,Description,min_experience,max_experience,short_type
867,867,8 days ago,Advisory - Data & Analytics - Data Engineer,Data Engineer,,EY,,4.0,https://www.indeed.hk//rc/clk?jk=f319b28f45928012&fccid=1544766d4c2915b0&vjs=3,Hong Kong,"Hong KongEY Data and Analytics (EY DnA) is our flagship data and advanced analytics capability within EY, working across multiple sectors including financial services, government & public sector, energy, mining & metals, and consumer products. We are one of the largest and fastest growing practices in Asia Pacific with more than 400 specialist staff in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia.

We work unreservedly with some of the biggest market players to enable, strengthen and help navigate through their data journey as trusted advisors and delivery experts. Our passion is driven by our strong purpose to build a better working world by enabling our clients transform into intelligent organisations. Information and intelligence are the assets which enable this, and our practice provides innovative approaches to unlocking this information, solving many of our clients’ biggest challenges.

The Opportunity

Being at the forefront of technology we are now helping EY clients move from traditional data warehouse environments onto big data platforms or are helping create hybrid environments combining old and new technologies. This is an exciting time that involves new sets of problems and leveraging our knowledge of traditional environments and pushing the boundaries of big data and analytics.

You will be joining a growing team of data focused consultants working on some of the most exciting projects in Hong Kong. This team works on a mix of Big Data, traditional business intelligence and data analysis projects with a strong focus on advanced analytics, data science and cloud technologies.

Your key responsibilities
As a Data Engineer you will work with our team to deliver solutions utilising leading big data platforms and cloud technologies. Our current team is working on some of the latest technologies in the region using advanced analytics solutions such as AWS, Azure, Hortonworks, Cloudera etc.
This is a varied role that will involve a mix of big data and traditional EDW projects and will find you:
Designing and delivering solutions within big data environments such as AWS, Azure, Hortonworks, Cloudera etc.
Working on projects across the Hadoop ecosystem including technologies such as Cloudera, Hortonworks, Spark, Python, Hbase etc.
Working with data integration technologies such as Informatica, Datastage, SSIS, Nifi, Talend
Working with data storage technologies such as Oracle, AWS Redshift, Azure SQL Data Warehouse
To qualify for the role, you must have

You will be an accomplished consultant and enjoy helping provide strategic solutions around all things data with previous experience across business intelligence, data warehousing, big data, advanced analytics or reporting environments.
Your past experience might have found you playing the role of:
Data Engineer, Data Analyst, ETL Designer/Developer
Ideally, you’ll also have
Fluency in English
At least 5 years’ experience as an ETL developer or data engineer within the data and analytics domain
Project delivery toolset experience in one or more batch ETL tools (such as Informatica, Microsoft SSIS or Talend) or open source data integration tools (such as Kafka or Nifi)
Knowledge and experience in end-to-end project delivery, either traditional SDLC or agile delivery methodologies (or hybrid approaches)
Exceptional communication, documentation and presentation skills
What working at EY offers
Support, coaching and feedback from some of the most engaging colleagues around
Opportunities to develop new skills and progress your career
The freedom and flexibility to handle your role in a way that’s right for you
About EY

As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, experience/knowledge and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world.

Apply now.",5.0,5.0,DE
868,868,17 days ago,Intern Data Engineer,Data Engineer,,Artefact,,,https://www.indeed.hk//rc/clk?jk=0e5ba5b114b63afa&fccid=0f5477dfb7d07060&vjs=3,Hong Kong,"Hong KongInternshipWho we are

Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we're enjoying skyrocketing growth.

Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients' specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we've acquired with our 1000+ client base around the globe.

We have 1000 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.

Your responsibilities :

Innovate. You will work with your team which is made up of consultants, data scientists, creatives and engineers to identify your clients needs and define innovative solutions.
Build. You'll take ownership of the solution from start to end. You manage both conception and implementation, whilst also optimising the performance and scalability.
Train. You will work in a collaborative team which champions knowledge sharing. You will coach others, keep abreast of industry news/updates and get stuck into training sessions with our business partners and suppliers, such as Google & Amazon.
Communication. You will regularly attend events and conferences to share your knowledge, learnings and success, with the capability of presenting and communicating

Your mindset


Curious, you are always seeking innovative solutions for your clients. You are involved in all the value chain which can be, front-end, back-end, big data infrastructure, ML model …
Sharing of knowledge is essential for you and you actively participate in the diffusion of information within Artefact (seminaries, formations, certifications)
Entrepreneurial, you bring solutions, new ideas, within your team at Artefact

Profile :

You act on all the value chain of projects (infrastructures and platforms creation, data collection, application of machine learning models, APIs REST creations, of front-ends, of tests, continuous deployments)
You have a good knowledge of python (Java and Scala are an asset), you know how to navigate *nix thank to CLI, you are familiar or have already used cloud technologies such as GCP or AWS, you have already used bug data technologies like Flink, Spark, or Beam and Docker (K8S is an asset)
You can popularize technical terms or solutions to more business oriented profiles, you can work in a team with very diversified profiles
You know how to prioritize your tasks, respect deadlines, prevent in case of problems
You have a good level of english

Why join us :

Innovative projects and technologies, exciting
Really competent team, co-progression guaranteed
Strong ambition for the data department, full of progression opportunities (technical, management)
Recent Stack : Python, Spark, React/Redux, Google Cloud Platform (BQ, Dataflow, Compute Engine…), Nifi, HDFS, Ansible, Docker, Redis, ...

Come join us !",,,DE
869,869,,Data Engineer,Data Engineer,,Konew Financial Express Limited 康業信貸快遞,,,https://www.indeed.hk//rc/clk?jk=f490e2e998623d5f&fccid=c2a016cf8577a8b1&vjs=3,Hong Kong,"Hong KongPermanentWho we are

Founded in 1997, Konew Financial Express Limited, a principal member of Konew FinTech Group, is a leading company in mortgage loan and property Finance industry. With more than 200 employees in Hong Kong, Taiwan and China branches, we offer professional one-stop mortgage service and innovative solutions to satisfy our customers financial needs. We are committed to maintaining the first-class service and high standard of excellence. At its foundation are three core values embrace courtesy, driving change and building capabilities, enabling us to achieve strategic ambition and drive sustainable business growth.

Join us now and be part of our exciting journey!

At Konew, we foster a culture of innovation, continuous improvement and collaboration. We strive to develop our talent and support life-long learning to fulfil their personal growth and career aspirations. We offer resources, competitive salary package and good benefit to our employees to keep them engaged at work. We are also committed to creating a positive working environment which value a healthy work-life balance.

To cope with our rapid expansion, we are currently looking for high caliber and passionate individuals to join our growing team.

Main Duties Responsibilities:
Serve for data and reporting solution within and across teams

Identify and implement process enhancement opportunities associated with supporting the application area

Help to change the company to a data-driven organization

Enhance the current DataLake solution to meet the reporting requirements and data request for business initiatives and be the point of contacts for the requests on top of the DataLake/ Tablea

Work with upstream Fintech and business teams to identify appropriate and correct data sources to be loaded into the DataLake based on users requests

Ensure a proper governance of data and an efficient data processing platform on the DataLake

Maintain a detailed and complete data-dictionary about the DataLake

Requirements:
Bachelors degree in Computer Science, Engineering or related discipline

At least 2 years working experience after graduation

Solid knowledge of MySQL and MSSQL

Experience in Tableau reporting and dashboarding is an advantage

Technical BA skills in requirement gathering and user management (specific in BI area), including business and process analysis skills

Experienced in BI modelling skills

Fresh graduates will also be considered

We offer:
Discretionary bonus

Medical insurance

Dental insurance

Competitive annual leave days

Birthday leave

Anniversary leave

Study leave

Marriage leave

Extra maternity leave with full paid

Compassionate leave

Home-made soup and dessert

How to apply:
Please send your resume stating clearly your expected salary either by ""APPLY NOW"" or by post.

Postage address:
Human Capital Department

Konew Financial Express Limited

4/F Wheelock House 20 Pedder Street

Central Hong Kong

(We are an equal opportunity employer. Personal data collected will be used for recruitment purpose only. The unsuccessful applications will be destroyed after 6 months.)

Full-time,Permanent",,2.0,DE
870,870,30+ days ago,Data Engineer,Data Engineer,,GOGOVAN,2.0,4.0,https://www.indeed.hk//rc/clk?jk=1a415206d62c5d07&fccid=1c1238dac9e76279&vjs=3,Hong Kong,"Hong KongThe Team:
You will be part of our diverse Analytics team who are aiming to optimize efficiency and continuously looking to embed data science in every aspect of GOGOVAN's business. Our Analytics team take pride in the work they do on a day to day basis from market expansion to business optimization through data for all our clients.
The Opportunity:
Build Streaming pipelines for real-time data collection and processing
Maintain high availability of analytics systems
Build ETL flows for streamlining data transformations for data analyses
Productionize data algorithms and build APIs as public services
Continuously improve analytics infrastructure and workflows
Support data science development
Qualifications and Experience:
Experience in building data pipelines for analytics
Preferably experience with AWS, Kinesis, Spark, Pandas, SQL, Python
Solid understanding of I/O, OS
Knowledges in building highly scalable systems
Preferably experience of deploying and running ML algorithms and experiments in production
Engineering mind-set, data driven and embrace experiments
This Role Will Require:
Interest in logistics problems and geographic data
Excellent communication skills to work with different teams",,,DE
871,871,30+ days ago,Intern Data Engineer (m/f/d),Data Engineer,,Artefact,,,https://www.indeed.hk//rc/clk?jk=9b14e1087774c8e5&fccid=0f5477dfb7d07060&vjs=3,Hong Kong,"Hong KongInternshipWho we are

Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we’re enjoying skyrocketing growth.

Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we’ve acquired with our 1000+ client base around the globe.

We have 1000 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.


Your responsibilities :

Innovate. You will work with your team which is made up of consultants, data scientists, creatives and engineers to identify your clients needs and define innovative solutions.
Build. You’ll take ownership of the solution from start to end. You manage both conception and implementation, whilst also optimising the performance and scalability.
Train. You will work in a collaborative team which champions knowledge sharing. You will coach others, keep abreast of industry news/updates and get stuck into training sessions with our business partners and suppliers, such as Google & Amazon.
Communication. You will regularly attend events and conferences to share your knowledge, learnings and success, with the capability of presenting and communicating
Your mindset
Curious, you are always seeking innovative solutions for your clients. You are involved in all the value chain which can be, front-end, back-end, big data infrastructure, ML model …
Sharing of knowledge is essential for you and you actively participate in the diffusion of information within Artefact (seminaries, formations, certifications)
Entrepreneurial, you bring solutions, new ideas, within your team at Artefact
Profile :

You act on all the value chain of projects (infrastructures and platforms creation, data collection, application of machine learning models, APIs REST creations, of front-ends, of tests, continuous deployments)
You have a good knowledge of python (Java and Scala are an asset), you know how to navigate *nix thank to CLI, you are familiar or have already used cloud technologies such as GCP or AWS, you have already used bug data technologies like Flink, Spark, or Beam and Docker (K8S is an asset)
You can popularize technical terms or solutions to more business oriented profiles, you can work in a team with very diversified profiles
You know how to prioritize your tasks, respect deadlines, prevent in case of problems
You have a good level of english
Why join us :

Innovative projects and technologies, exciting
Really competent team, co-progression guaranteed
Strong ambition for the data department, full of progression opportunities (technical, management)
Recent Stack : Python, Spark, React/Redux, Google Cloud Platform (BQ, Dataflow, Compute Engine…), Nifi, HDFS, Ansible, Docker, Redis, …
Come join us !",,,DE
872,872,13 days ago,"KDB Engineer- Data & Analytics, Cash Equities",Data Engineer,,JP Morgan Chase,,3.9,https://www.indeed.hk//rc/clk?jk=5ed79de3728a3566&fccid=c46d0116f6e69eae&vjs=3,Hong Kong,"Hong KongAs a member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You’ll work in a collaborative, trusting, thought-provoking environment—one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

The successful candidate will develop and support the data and analytics platform for electronic trading across Equities and F&O. You will develop scalable real-time processing solutions in an agile methodology and partner with stakeholders to capture requirements and deliver solutions directly to the business.

This role requires a wide variety of strengths and capabilities, including: BS/BA degree or equivalent experience Proficiency in one or more modern programming languages (KDB/Q and Java) Advanced knowledge of application, data and infrastructure architecture disciplines Understanding of architecture and design across all systems Working proficiency in developmental toolsets Knowledge of industry wide technology trends and best practices Ability to work in large, collaborative teams to achieve organizational goals, and passionate about building an innovative culture Understanding of software skills such as business analysis, development, maintenance and software improvement Exposure to a similar business line, ie. Equities, Fixed Income or any type of derivatives is preferred Engineering experience on integrating analytics platform across trading stacks Automation / DevOps experience to improve development efficiency Experience working with real-time market data, pre-trade analytics, post-trade analytics, OMS, algorithmic trading, enterprise data warehouse, FIX protocol, web services
Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. The Corporate & Investment Bank provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 15 technology centers worldwide, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $11B annual investment in technology enables us to hire people to create innovative solutions that are transforming the financial services industry.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.",,,DE
873,873,30+ days ago,Data Engineer,Data Engineer,,Libbler,,,https://www.indeed.hk//rc/clk?jk=ceff2ed706806f93&fccid=efffba36e762eef5&vjs=3,Hong Kong,"Hong KongHedge Fund
Hong Kong
Full time
About
A well-established hedge fund is seeking an experience Data Engineer to facilitate their upcoming expansion

To apply, please send your CV to talents@libbler.com quoting the job reference number.

Requirements
Data architecture setup and maintenance and cleansing experience
Familiar with Cloud technology & Data Manipulation Language
Experience with working on firm-wide data solution setup/migration within a financial firm
Solid knowledge on Python & DBA; Exposure on various database included but not limited to Postgres, MS SQL, Cassandra, KDB, Maria MongoDB
Minimum experience: 5 years
Industry experience:
Asset management ,
Hedge funds ,
Investment banking
Role experience:
Data engineer
Language(s):
Required work permit: Hong Kong
KEY EXPERTISE
Databases
Data cleansing
Database development
Database administration
Data migration
MongoDB
kdb+
PostgreSQL
Python
JOB REF ID
bMnnDGc",5.0,5.0,DE
874,874,7 days ago,Junior Data Center Engineer (Fresh graduates are welcome),Data Engineer,,E.C. Fix Technology Limited,,,https://www.indeed.hk//rc/clk?jk=3ff14c5b0f913e7a&fccid=26b6e2d26a9e7afd&vjs=3,Hong Kong,"Hong KongE.C.Fix Technology Limited

One of the most successful and fast growing IT and human resources solution providers in the region.We
specialize in repair and support services to original equipment manufacturers in computing industry which include Hardware, Software Vendors and US Fortune 500 companies.We
offers a variety of Recruitment/Secondment Services designed to satisfy the Employee’s career and the Employer’s need.We draw upon our experience in the IT industry
as well as our network in both Hong Kong and China, in order to provide you with appropriate careers.

Responsibilities:
Provide technical support services to customers including fault reporting, troubleshooting and site administration

Liaise & coordinate with in-country

Monitor the data center facilities and network infrastructure

Assist Engineers on system / network implementation and maintenance works

Perform monthly closing tasks as required

Perform daily backup and result check

Requirements:
Diploma in Computing Studies and related discipline or above

1-2 Years of experience in Data Center

Hands-on experience in backup tools would be advantage

Good command in spoken and written English and Chinese

Immediate available is highly preferred

Willing to perform 7*24 shift pattern

Candidates with more experience will be considered as Data Center Supervisor


**** Please provide your expected salary in your CV for reference *****

Interested party, please send your details resume with current and expected salary to our Human Resources Department by email MS WORD Format ONLY . All information provided
will be treated in strict confidence and used solely for recruitment purposes. The resume will be retained for a period of two years for future recruitment purposes within our group and clients.",2.0,2.0,DE
875,875,19 days ago,Data Engineer,Data Engineer,"$15,000 - $45,000",Anywhere Everywhere Six Degrees Link Limited,,,https://www.indeed.hk//company/Anywhere-Everywhere-Six-Degrees-Link-Limited/jobs/Data-Engineer-eb4520034b4b4cdf?fccid=69bc8ca3a8122f69&vjs=3,Hong Kong,"Hong Kong$15,000 - $45,000 a monthou will:design and develop data modelsmanipulate, clean, validate, and test various datasets from business partnerspartner with Data Analyst to streamline and automate data processing and analysis processcollaborate with Data Analyst to build efficient data pipelines and analytics infrastructure.research and experiment new, state-of-the-art tools and processes for managing, processing, analysing dataperform other analytical and administrative duties as neededAbout YouYou should:have a bachelor degreein Computer Science, Data Science, Mathematics, or Statistics or related degreehave min 2 years’ experiences in data engineering roles, with Python and SQLbe detail oriented, self-motivated and team playerbe fluent in English, Chinese (preferred both Mandarin and Cantonese)have strong Excel skills, familiar with ETL and data warehousingunderstanding in data structures and schema designJob Type: Full-timeSalary: $15,000.00 to $45,000.00 /month",2.0,2.0,DE
876,876,30+ days ago,Data Engineer,Data Engineer,,WeLab,,,https://www.indeed.hk//rc/clk?jk=3aac5ffc5334df7a&fccid=27847644fc0b7380&vjs=3,Hong Kong,"Hong KongResponsibilities
Collaborate with different teams to define, design and ship new platform innovative features
Technical ownership of projects and managing deliverables
Apply the best fit technology on daily work to optimize the scalability and performance of our business
Develop and implement end to end data pipeline from collection, analysis to visualisation
Apply data analysis, machine learning, and incorporating AI into our platform
Collaborate with product, design, operations, marketing and growth team to enhance our business via the use of Data
Requirements
Bachelor degree in IT, Computer Science or related discipline
Work efficiently with non-technical teams and understand how data can generate value for them
Able to draw insights about customers, business, markets, and growth opportunities using data analysis
Knowledge in statistics, modelling, regressions, AI theory, machine learning approaches
Knowledge in one or more data technologies (e.g Spark, Flink, Kafka, Hadoop, Tensorflow)
Able to operate the end to end data pipeline, from data collection to data cleansing.
Strong passion in emerging technology
We offer competitive salary package to the successful candidate. If you are interested in joining this exciting team, please email your resume to us at careersvb@welab.co.
All information provided by applicants will be used for recruitment purposes only.",,,DE
